request_ke,server_tujuan,waktu_detik,status
1,WEB SERVER 2 (i4-web-2),0.1171,OK
2,WEB SERVER 4 (i4-web-4),0.1244,OK
3,WEB SERVER 3 (i4-web-3),0.2176,OK
4,WEB SERVER 1 (i4-web-1),0.3246,OK
5,WEB SERVER 2 (i4-web-2),0.1300,OK
6,WEB SERVER 1 (i4-web-1),0.3209,OK
7,WEB SERVER 1 (i4-web-1),0.3090,OK
8,WEB SERVER 3 (i4-web-3),0.2092,OK
9,WEB SERVER 4 (i4-web-4),0.1139,OK
10,WEB SERVER 2 (i4-web-2),0.1156,OK
11,WEB SERVER 4 (i4-web-4),0.1181,OK
12,WEB SERVER 4 (i4-web-4),0.1045,OK
13,WEB SERVER 2 (i4-web-2),0.1054,OK
14,WEB SERVER 3 (i4-web-3),0.2086,OK
15,WEB SERVER 2 (i4-web-2),0.1085,OK
16,WEB SERVER 3 (i4-web-3),0.2049,OK
17,WEB SERVER 2 (i4-web-2),0.1043,OK
18,WEB SERVER 4 (i4-web-4),0.1042,OK
19,WEB SERVER 4 (i4-web-4),0.1030,OK
20,WEB SERVER 2 (i4-web-2),0.1039,OK
